Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Youssef El Motie,"1,93m",droit,1000000.0,Gardien de but,28,42,41.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"1,51",3690,2023/24
Mehdi Maftah,"1,90m",droit,350000.0,Gardien de but,29,43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,50",360,2023/24
Jamal Harkass,"1,85m",droit,1200000.0,Défenseur central,27,38,35.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,"1,34",3022,2023/24
Hamza Regragui,"1,90m",ambidextre,550000.0,Défenseur central,26,17,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"1,00",101,2023/24
Amine Aboulfath,"1,83m",droit,500000.0,Défenseur central,25,32,32.0,1.0,1.0,6.0,1.0,2.0,3.0,1.0,"1,91",2585,2023/24
Arsène Zola,"1,83m",gauche,500000.0,Défenseur central,27,17,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"1,44",719,2023/24
Amine Farhane,"1,89m",droit,450000.0,Défenseur central,25,30,17.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,"1,65",1241,2023/24
Yahia Attiyat Allah,"1,76m",gauche,2200000.0,Arrière gauche,28,24,23.0,4.0,3.0,2.0,0.0,0.0,0.0,4.0,"1,83",2035,2023/24
Ayoub Boucheta,-,gauche,550000.0,Arrière gauche,29,13,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,"1,25",502,2023/24
Badr Gaddarine,"1,78m",gauche,500000.0,Arrière gauche,25,18,14.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,"1,50",1010,2023/24
Ilyes Chetti,"1,76m",gauche,325000.0,Arrière gauche,28,33,16.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,"1,94",925,2023/24
Ayoub El Amloud,"1,77m",droit,1200000.0,Arrière droit,29,34,33.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,"1,73",2954,2023/24
Hicham Ait Brayem,-,droit,50000.0,Arrière droit,26,15,6.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,"1,33",386,2023/24
Ismail Gazaoui,-,,10000.0,Arrière droit,25,14,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1,17",460,2023/24
Yahya Jabrane,"1,87m",droit,1300000.0,Milieu défensif,32,36,34.0,3.0,4.0,11.0,0.0,0.0,1.0,1.0,"1,68",2980,2023/24
Zakaria Draoui,"1,74m",ambidextre,900000.0,Milieu défensif,29,44,43.0,3.0,0.0,5.0,0.0,0.0,3.0,6.0,"1,60",3653,2023/24
Anas Serrhat,"1,78m",,450000.0,Milieu défensif,26,42,32.0,1.0,0.0,8.0,0.0,1.0,16.0,5.0,"1,63",1591,2023/24
Mounir Habach,-,droit,25000.0,Milieu défensif,23,7,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,"1,00",92,2023/24
