Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Zouheir Laaroubi,-,droit,150000.0,Gardien de but,30,41,39.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"1,95",3510,2015/16
Mohamed Akid,"1,83m",droit,25000.0,Gardien de but,22,23,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,33",270,2015/16
Mourtada Fall,"1,92m",ambidextre,750000.0,Défenseur central,27,37,37.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,"1,89",3330,2015/16
Youssef Rabeh,"1,80m",ambidextre,375000.0,Défenseur central,30,25,24.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,"1,96",2092,2015/16
Nana Nafiou,"1,80m",droit,200000.0,Défenseur central,23,5,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,75",360,2015/16
Ayoub Qasmi,"1,78m",gauche,150000.0,Défenseur central,21,20,10.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,"2,10",805,2015/16
Amine Atouchi,"1,86m",droit,100000.0,Défenseur central,23,38,27.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,"1,81",2244,2015/16
Fahd Aktaou,"1,84m",gauche,350000.0,Arrière gauche,22,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,00",180,2015/16
Yassine El Kordy,"1,78m",gauche,250000.0,Arrière gauche,29,31,29.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,"1,79",2610,2015/16
Benjamin Zé Ondo,"1,83m",gauche,150000.0,Arrière gauche,28,5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,80",450,2015/16
Abdellatif Noussir,"1,83m",droit,700000.0,Arrière droit,25,37,37.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,"1,86",3327,2015/16
Younes Bellakhdar,-,droit,450000.0,Arrière droit,28,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,00",90,2015/16
Salaheddine Saidi,"1,87m",droit,450000.0,Milieu défensif,28,35,34.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,"1,76",3015,2015/16
Jamel Aït Ben Idir,"1,74m",droit,250000.0,Milieu défensif,31,30,21.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,"1,62",1121,2015/16
Anas Al-Asbahi,"1,80m",gauche,200000.0,Milieu défensif,21,27,19.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0,"2,05",1461,2015/16
Brahim Nakach,"1,73m",droit,100000.0,Milieu défensif,33,29,28.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,"1,68",2258,2015/16
Walid El Karti,"1,84m",droit,100000.0,Milieu central,20,36,35.0,3.0,2.0,0.0,0.0,0.0,0.0,28.0,"1,83",2214,2015/16
Mehdi Karnass,"1,81m",ambidextre,200000.0,Milieu droit,25,9,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,"2,00",466,2015/16
Rachid Housni,"1,77m",gauche,0.0,Milieu offensif,25,24,18.0,2.0,5.0,1.0,0.0,0.0,10.0,4.0,"1,89",986,2015/16
Aymane El Hassouni,"1,87m",droit,0.0,Milieu offensif,20,15,10.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,"1,70",396,2015/16
Brahim El Bahri,"1,86m",gauche,375000.0,Ailier gauche,29,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"2,00",66,2015/16
Hamza Elowasti,"1,86m",droit,0.0,Ailier gauche,20,5,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,"2,00",63,2015/16
Zouhair El Moutaraji,"1,82m",droit,0.0,Ailier gauche,19,9,9.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,"2,22",169,2015/16
Ismail El Haddad,"1,81m",gauche,0.0,Ailier gauche,24,37,37.0,4.0,9.0,0.0,0.0,0.0,7.0,23.0,"1,92",2101,2015/16
Abdeladim Khadrouf,"1,83m",ambidextre,300000.0,Ailier droit,30,6,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,"1,40",271,2015/16
Mohamed Ounajem,"1,73m",droit,0.0,Ailier droit,23,33,31.0,2.0,4.0,0.0,0.0,0.0,29.0,2.0,"1,94",1034,2015/16
Reda Hajhouj,"1,75m",droit,0.0,Ailier droit,20,36,36.0,12.0,9.0,1.0,0.0,0.0,4.0,24.0,"1,83",2356,2015/16
Fabrice Ondama,"1,78m",droit,550000.0,Avant-centre,27,37,34.0,10.0,3.0,0.0,0.0,0.0,11.0,11.0,"1,82",2203,2015/16
William Jebor,"1,83m",droit,300000.0,Avant-centre,23,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,"1,50",129,2015/16
Chisom Elvis Chikatara,"1,83m",droit,0.0,Avant-centre,20,3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,"2,33",130,2015/16
Ibrahima Sory Keita,"1,86m",droit,0.0,Avant-centre,21,21,20.0,1.0,0.0,0.0,0.0,0.0,7.0,9.0,"1,65",1128,2015/16
Moctar Cissé,-,,0.0,Avant-centre,22,13,13.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,"1,85",665,2015/16
