Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Nadir Lamyaghri,"1,85m",droit,200000.0,Gardien de but,36,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,63",1440,2013/14
Yassine El Houasli,"1,84m",droit,100000.0,Gardien de but,22,9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,00",90,2013/14
Mohamed Akid,"1,83m",droit,25000.0,Gardien de but,20,11,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,50",720,2013/14
Mourad Lemsen,-,,300000.0,Défense,33,21,20.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,"1,35",1670,2013/14
Youssef Rabeh,"1,80m",ambidextre,375000.0,Défenseur central,28,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"1,09",945,2013/14
Hicham Amrani,"1,84m",droit,300000.0,Défenseur central,27,4,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,"1,00",354,2013/14
Yassine Rami,"1,85m",,150000.0,Défenseur central,26,7,6.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,"1,33",495,2013/14
Ayoub Qasmi,"1,78m",gauche,150000.0,Défenseur central,19,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00",90,2013/14
Zakaria Zahid,"1,84m",,150000.0,Défenseur central,28,15,9.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,"1,78",556,2013/14
Amine Atouchi,"1,86m",droit,100000.0,Défenseur central,21,23,20.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,"1,30",1800,2013/14
Mohamed Saidi,-,droit,75000.0,Défenseur central,18,11,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"0,67",451,2013/14
Nabil Loualji,"1,73m",gauche,100000.0,Arrière gauche,25,19,19.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,"1,42",1610,2013/14
Ayoub El Khaliqi,"1,86m",droit,600000.0,Arrière droit,26,19,19.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,"1,47",1698,2013/14
Said Fatah,"1,73m",gauche,600000.0,Milieu défensif,27,21,21.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,"1,29",1816,2013/14
Youness Mankari,"1,73m",ambidextre,300000.0,Milieu défensif,30,5,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"3,00",32,2013/14
Anas Al-Asbahi,"1,80m",gauche,200000.0,Milieu défensif,19,19,17.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,"1,47",1189,2013/14
Omar Ati Allah,-,,75000.0,Milieu,20,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1,00",1,2013/14
Khalid Zineddine,"1,80m",droit,25000.0,Milieu,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"0,00",68,2013/14
Mohamed Berrabeh,"1,78m",ambidextre,650000.0,Milieu central,27,17,17.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,"1,06",1336,2013/14
Walid El Karti,"1,84m",droit,100000.0,Milieu central,18,19,19.0,1.0,1.0,1.0,0.0,0.0,6.0,10.0,"1,32",1168,2013/14
Omar Najdi,"1,70m",droit,400000.0,Milieu droit,26,6,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,"1,80",100,2013/14
Bakary Koné,"1,69m",droit,300000.0,Milieu droit,24,19,18.0,3.0,4.0,5.0,0.0,0.0,2.0,9.0,"1,22",1406,2013/14
Abderrazak El Mnasfi,"1,88m",gauche,350000.0,Milieu offensif,31,7,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,"1,75",108,2013/14
Yassine Lakhal,"1,79m",gauche,450000.0,Ailier gauche,23,17,14.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,"0,71",605,2013/14
Taoufik Ijrouten,-,droit,300000.0,Ailier droit,23,13,8.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,"1,00",264,2013/14
Reda Hajhouj,"1,75m",droit,0.0,Ailier droit,18,5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"0,50",38,2013/14
Mohamed Vieira Sanogo,"1,80m",droit,0.0,Ailier droit,19,12,6.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,"1,33",299,2013/14
Fabrice Ondama,"1,78m",droit,550000.0,Avant-centre,25,22,21.0,5.0,1.0,3.0,0.0,0.0,1.0,7.0,"1,14",1693,2013/14
Youness Hawassi,"1,80m",droit,250000.0,Avant-centre,28,16,16.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,"1,31",929,2013/14
Malick Evouna,"1,80m",droit,0.0,Avant-centre,20,23,23.0,8.0,1.0,1.0,0.0,0.0,4.0,9.0,"1,17",1719,2013/14
