Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Ahmed Reda Tagnaouti,"1,92m",droit,1250000.0,Gardien de but,22,42,41.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"1,88",3690,2018/19
Yassine El Kharroubi,"1,91m",droit,300000.0,Gardien de but,28,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00",180,2018/19
Badereddine Benaachour,"1,78m",,200000.0,Gardien de but,23,43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,00",180,2018/19
Cheick Comara,"1,84m",gauche,925000.0,Défenseur central,24,35,35.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,"1,91",3147,2018/19
Achraf Dari,"1,88m",droit,850000.0,Défenseur central,19,40,40.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,"1,90",3548,2018/19
Naïm Aarab,"1,88m",droit,150000.0,Défenseur central,30,7,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"1,33",141,2018/19
Mohamed Ouattara,"1,90m",droit,100000.0,Défenseur central,19,10,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"1,50",388,2018/19
Mohammed Nahiri,"1,86m",droit,1250000.0,Arrière gauche,26,36,34.0,12.0,4.0,5.0,0.0,0.0,1.0,1.0,"1,91",3004,2018/19
Badr Gaddarine,"1,78m",gauche,425000.0,Arrière gauche,20,42,20.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,"2,00",1425,2018/19
Abdellatif Noussir,"1,83m",droit,500000.0,Arrière droit,28,39,38.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,"1,76",3393,2018/19
Ayoub El Amloud,"1,77m",droit,400000.0,Arrière droit,24,30,17.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,"1,76",729,2018/19
Yahya Jabrane,"1,87m",droit,750000.0,Milieu défensif,27,26,26.0,2.0,1.0,3.0,0.0,0.0,6.0,2.0,"1,69",1917,2018/19
Salaheddine Saidi,"1,87m",droit,700000.0,Milieu défensif,31,34,33.0,4.0,4.0,2.0,0.0,0.0,3.0,4.0,"1,79",2703,2018/19
Anas Al-Asbahi,"1,80m",gauche,350000.0,Milieu défensif,24,22,10.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,"1,50",257,2018/19
Brahim Nakach,"1,73m",droit,350000.0,Milieu défensif,36,39,32.0,0.0,0.0,5.0,2.0,0.0,1.0,5.0,"1,88",2694,2018/19
Walid El Karti,"1,84m",droit,875000.0,Milieu central,23,41,41.0,8.0,5.0,1.0,0.0,0.0,3.0,7.0,"1,76",3394,2018/19
Michel Babatunde,"1,79m",gauche,675000.0,Milieu offensif,25,43,34.0,9.0,6.0,2.0,0.0,0.0,10.0,21.0,"1,79",2068,2018/19
Aymane El Hassouni,"1,87m",droit,550000.0,Milieu offensif,23,41,33.0,5.0,2.0,3.0,0.0,0.0,20.0,8.0,"1,67",1427,2018/19
Ismail El Haddad,"1,81m",gauche,900000.0,Ailier gauche,27,36,36.0,3.0,9.0,0.0,0.0,0.0,9.0,14.0,"1,89",2387,2018/19
Zouhair El Moutaraji,"1,82m",droit,450000.0,Ailier gauche,22,34,25.0,7.0,2.0,2.0,0.0,0.0,13.0,7.0,"1,52",1210,2018/19
Hamza Elowasti,"1,86m",droit,275000.0,Ailier gauche,23,12,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"1,00",28,2018/19
Mohamed Ounajem,"1,73m",droit,975000.0,Ailier droit,26,35,35.0,6.0,15.0,1.0,0.0,0.0,5.0,10.0,"2,03",2753,2018/19
Badie Aouk,"1,66m",droit,650000.0,Ailier droit,23,33,27.0,4.0,7.0,0.0,0.0,0.0,9.0,13.0,"1,74",1447,2018/19
Amin Tighazoui,"1,72m",gauche,600000.0,Ailier droit,29,33,23.0,1.0,1.0,0.0,0.0,0.0,11.0,12.0,"2,04",975,2018/19
Ayoub El Kaabi,"1,82m",gauche,2000000.0,Avant-centre,25,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",37,2018/19
William Jebor,"1,83m",droit,300000.0,Avant-centre,26,22,18.0,5.0,1.0,0.0,0.0,0.0,4.0,9.0,"2,06",1122,2018/19
Gabriel Okechukwu,"1,88m",gauche,250000.0,Avant-centre,22,11,7.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,"1,86",268,2018/19
