Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Nadir Lamyaghri,"1,85m",droit,275000.0,Gardien de but,34,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,90",1890,2011/12
Mourad Lemsen,-,,0.0,Défense,31,25,25.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,"1,68",2245,2011/12
Abderahim Benkajjane,"1,84m",,0.0,Défense,26,4,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"2,25",283,2011/12
Youssef Rabeh,"1,80m",ambidextre,150000.0,Défenseur central,26,23,23.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,"1,65",2070,2011/12
Hicham Amrani,"1,84m",droit,0.0,Défenseur central,25,24,24.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,"1,58",2147,2011/12
Yassine Rami,"1,85m",,0.0,Défenseur central,24,12,12.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,"1,17",739,2011/12
Amine Atouchi,"1,86m",droit,0.0,Défenseur central,19,3,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"2,33",178,2011/12
Ayoub Qasmi,"1,78m",gauche,0.0,Défenseur central,17,5,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"2,40",274,2011/12
Ayoub El Khaliqi,"1,86m",droit,0.0,Arrière droit,24,10,10.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,"2,50",832,2011/12
Said Fatah,"1,73m",gauche,25000.0,Milieu défensif,25,19,19.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,"1,79",1578,2011/12
Youness Mankari,"1,73m",ambidextre,0.0,Milieu défensif,28,16,16.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,"1,50",1351,2011/12
Abderrahmane Mssassi,"1,84m",droit,0.0,Milieu défensif,26,4,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,"2,50",273,2011/12
Houcine Zaidoune,"1,85m",droit,0.0,Milieu défensif,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"1,00",90,2011/12
Ali Rachdi,"1,78m",droit,0.0,Milieu défensif,18,6,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,"1,83",272,2011/12
Abdessamad Zaoui,-,,0.0,Milieu,20,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"3,00",56,2011/12
Mohamed Berrabeh,"1,78m",ambidextre,700000.0,Milieu central,25,21,21.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,"1,95",1846,2011/12
Ayoub Skouma,"1,73m",droit,0.0,Milieu central,24,8,8.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,"1,88",511,2011/12
Bakr El Helali,"1,87m",droit,0.0,Milieu central,23,11,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,"1,27",905,2011/12
Bakary Koné,"1,69m",droit,0.0,Milieu droit,22,10,10.0,1.0,1.0,1.0,0.0,0.0,5.0,2.0,"2,10",599,2011/12
Ahmed Ajeddou,"1,72m",droit,0.0,Milieu offensif,30,18,18.0,3.0,1.0,3.0,0.0,0.0,3.0,6.0,"1,61",1363,2011/12
Pascal Angan,"1,78m",droit,0.0,Milieu offensif,25,13,13.0,1.0,1.0,0.0,2.0,0.0,5.0,3.0,"1,54",729,2011/12
Yassine Lakhal,"1,79m",gauche,0.0,Ailier gauche,21,22,22.0,3.0,1.0,0.0,0.0,0.0,3.0,9.0,"1,64",1543,2011/12
Abdelghani Mouaoui,"1,78m",,0.0,Ailier gauche,22,8,8.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,"2,50",183,2011/12
Youssef Kaddioui Idrissi,"1,79m",droit,1000000.0,Ailier droit,26,11,11.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,"1,55",532,2011/12
Jawad Issine,"1,83m",ambidextre,0.0,Ailier droit,20,15,15.0,2.0,2.0,2.0,0.0,0.0,8.0,6.0,"2,00",683,2011/12
Farid Talhaoui,"1,73m",droit,450000.0,Attaquant,29,13,13.0,0.0,3.0,0.0,0.0,0.0,5.0,7.0,"1,38",594,2011/12
Mouhssine Iajour,"1,78m",droit,300000.0,Avant-centre,26,18,18.0,5.0,2.0,2.0,0.0,0.0,7.0,8.0,"1,83",924,2011/12
Fabrice Ondama,"1,78m",droit,100000.0,Avant-centre,23,6,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"2,17",460,2011/12
Mustapha Allaoui,"1,89m",droit,0.0,Avant-centre,28,5,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,"0,80",205,2011/12
Youness Hawassi,"1,80m",droit,0.0,Avant-centre,26,23,23.0,5.0,0.0,4.0,0.0,0.0,7.0,7.0,"1,65",1508,2011/12
