Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
El Mehdi Benabid,droit,27 janv. 2025,1300000.0,Gardien de but,27,9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,50",720,2024/25
Youssef El Motie,droit,22 août 2022,900000.0,Gardien de but,30,31,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"1,67",1620,2024/25
Omar Aqzdaou,droit,1 janv. 2025,10000.0,Gardien de but,22,10,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"2,40",450,2024/25
Ahmed Khalil Jamal Eddine,droit,16 sept. 2024,10000.0,Gardien de but,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,00",90,2024/25
Jamal Harkass,droit,1 sept. 2023,1500000.0,Défenseur central,29,28,28.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,"1,68",2440,2024/25
Abdelmounaim Boutouil,gauche,26 août 2024,550000.0,Défenseur central,27,20,18.0,1.0,2.0,3.0,0.0,1.0,1.0,5.0,"1,83",1349,2024/25
Ayman Dairani,ambidextre,1 juil. 2024,400000.0,Défenseur central,29,26,20.0,0.0,0.0,6.0,0.0,0.0,5.0,2.0,"1,75",1347,2024/25
Mohammed El Jadidi,droit,30 janv. 2025,250000.0,Défenseur central,20,7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1,00",99,2024/25
Ayoub Boucheta,gauche,22 janv. 2024,550000.0,Arrière gauche,31,23,21.0,0.0,2.0,5.0,0.0,0.0,2.0,9.0,"1,81",1616,2024/25
Zakaria Nassik,gauche,4 août 2024,325000.0,Arrière gauche,28,21,13.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,"1,92",697,2024/25
Fahd Moufi,droit,13 janv. 2025,1000000.0,Arrière droit,28,10,10.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,"1,50",669,2024/25
Mohamed Moufid,droit,24 juil. 2024,850000.0,Arrière droit,25,29,27.0,1.0,0.0,6.0,0.0,0.0,4.0,5.0,"1,70",2079,2024/25
Mehdi Moubarik,droit,13 sept. 2024,900000.0,Milieu défensif,24,23,20.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,"1,80",1496,2024/25
Mickaël Malsa,droit,26 janv. 2025,600000.0,Milieu défensif,29,5,4.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,"2,00",116,2024/25
Mounir Habach,droit,23 août 2023,10000.0,Milieu défensif,25,20,7.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,"1,29",460,2024/25
Oussama Zemraoui,gauche,22 janv. 2024,600000.0,Milieu central,23,25,22.0,6.0,2.0,2.0,0.0,0.0,6.0,13.0,"1,50",1311,2024/25
Hamza Sakhi,droit,27 juil. 2024,1300000.0,Milieu offensif,28,26,26.0,2.0,2.0,0.0,0.0,0.0,5.0,4.0,"1,73",1982,2024/25
Arthur Wenderroscky,gauche,19 sept. 2024,700000.0,Milieu offensif,20,22,18.0,1.0,3.0,1.0,0.0,0.0,8.0,8.0,"1,78",814,2024/25
Ismail Moutaraji,gauche,14 juil. 2022,300000.0,Milieu offensif,25,27,24.0,3.0,4.0,2.0,0.0,0.0,7.0,9.0,"1,75",1493,2024/25
Mouad Enzo,droit,1 juil. 2024,75000.0,Milieu offensif,23,11,9.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,"1,67",262,2024/25
Mohamed Rayhi,droit,23 juil. 2024,700000.0,Ailier gauche,30,27,27.0,12.0,0.0,3.0,0.0,0.0,9.0,18.0,"1,67",1595,2024/25
Thembinkosi Lorch,droit,31 janv. 2025,500000.0,Ailier gauche,31,11,11.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,"1,45",657,2024/25
Saifeddine Bouhra,droit,1 août 2023,400000.0,Ailier droit,25,19,16.0,0.0,0.0,2.0,0.0,0.0,7.0,9.0,"1,81",690,2024/25
Walid Nassi,gauche,26 août 2024,225000.0,Ailier droit,24,29,23.0,2.0,2.0,2.0,0.0,0.0,9.0,13.0,"1,43",1052,2024/25
Zakaria Fatihi,,30 janv. 2025,175000.0,Ailier droit,26,9,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"1,14",148,2024/25
Cassius Mailula,,21 août 2024,900000.0,Avant-centre,23,33,30.0,3.0,6.0,3.0,0.0,0.0,9.0,18.0,"1,60",1803,2024/25
Samuel Obeng,gauche,31 janv. 2025,600000.0,Avant-centre,27,10,10.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,"1,50",424,2024/25
Selemani Mwalimu,droit,31 janv. 2025,0.0,Avant-centre,19,6,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"1,00",115,2024/25
