Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Ahmed Reda Tagnaouti,"1,92m",droit,1800000.0,Gardien de but,26,28,28.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,"1,96",2550,2022/23
Youssef El Motie,"1,93m",droit,375000.0,Gardien de but,27,38,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,86",1890,2022/23
Arsène Zola,"1,83m",gauche,600000.0,Défenseur central,26,45,40.0,4.0,1.0,4.0,0.0,0.0,3.0,0.0,"1,78",3374,2022/23
Amine Farhane,"1,89m",droit,575000.0,Défenseur central,24,32,29.0,3.0,0.0,4.0,0.0,0.0,3.0,4.0,"1,76",2366,2022/23
Cheick Comara,"1,84m",gauche,525000.0,Défenseur central,28,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,00",90,2022/23
Yahya Nadrani,"1,83m",droit,450000.0,Défenseur central,25,13,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"2,50",280,2022/23
Amine Aboulfath,"1,83m",droit,375000.0,Défenseur central,24,45,28.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,"2,18",2274,2022/23
Sami El Anabi,"1,90m",gauche,50000.0,Défenseur central,22,7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"3,00",1,2022/23
Yahia Attiyat Allah,"1,76m",gauche,2500000.0,Arrière gauche,27,46,46.0,3.0,6.0,12.0,0.0,0.0,1.0,4.0,"1,89",4075,2022/23
Ayoub El Amloud,"1,77m",droit,1000000.0,Arrière droit,28,49,47.0,4.0,3.0,4.0,0.0,0.0,2.0,8.0,"1,94",3938,2022/23
Houcine Benayada,"1,86m",droit,800000.0,Arrière droit,29,22,18.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,"1,78",1284,2022/23
Hamza Ait Allal,"1,84m",droit,125000.0,Arrière droit,22,42,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"2,50",151,2022/23
Yahya Jabrane,"1,87m",droit,1900000.0,Milieu défensif,31,45,44.0,7.0,2.0,10.0,1.0,0.0,1.0,1.0,"1,91",3887,2022/23
Jalal Daoudi,"1,75m",droit,450000.0,Milieu défensif,33,37,35.0,2.0,2.0,10.0,0.0,2.0,7.0,13.0,"1,91",2334,2022/23
Houmam Baaouch,"1,70m",droit,425000.0,Milieu défensif,26,30,8.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,"3,00",47,2022/23
Reda Jaadi,"1,83m",gauche,600000.0,Milieu central,27,38,35.0,1.0,2.0,8.0,0.0,0.0,8.0,11.0,"1,86",2520,2022/23
Abdellah Haimoud,"1,72m",droit,300000.0,Milieu central,21,36,28.0,1.0,0.0,3.0,0.0,0.0,17.0,7.0,"2,00",1191,2022/23
Aymane El Hassouni,"1,87m",droit,1500000.0,Milieu offensif,27,45,41.0,9.0,2.0,5.0,0.0,0.0,5.0,25.0,"1,80",3061,2022/23
Ismail Moutaraji,-,gauche,550000.0,Milieu offensif,22,40,16.0,0.0,4.0,2.0,0.0,0.0,10.0,5.0,"2,13",542,2022/23
Didier Lamkel Zé,"1,89m",droit,1000000.0,Ailier gauche,25,9,7.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,"1,86",278,2022/23
Zouhair El Moutaraji,"1,82m",droit,500000.0,Ailier gauche,26,22,21.0,2.0,1.0,1.0,0.0,0.0,11.0,10.0,"1,62",988,2022/23
Imad Khannouss,"1,79m",ambidextre,25000.0,Ailier gauche,29,10,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,"2,00",179,2022/23
Mohamed Ounajem,"1,73m",droit,600000.0,Ailier droit,30,43,41.0,1.0,10.0,3.0,0.0,0.0,12.0,22.0,"2,00",2593,2022/23
Saifeddine Bouhra,"1,78m",droit,450000.0,Ailier droit,22,47,43.0,3.0,5.0,5.0,0.0,0.0,13.0,27.0,"1,91",2484,2022/23
Badie Aouk,"1,66m",droit,300000.0,Ailier droit,27,29,20.0,0.0,2.0,1.0,0.0,1.0,14.0,5.0,"1,85",505,2022/23
Salaheddine Benyachou,"1,68m",droit,250000.0,Ailier droit,22,8,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,"2,25",181,2022/23
Hicham Boussefiane,"1,77m",droit,200000.0,Ailier droit,24,35,30.0,1.0,3.0,5.0,0.0,0.0,15.0,13.0,"2,13",1431,2022/23
Hamid Ahadad,"1,78m",droit,650000.0,Avant-centre,27,29,23.0,1.0,3.0,6.0,0.0,0.0,17.0,6.0,"1,78",705,2022/23
Bouly Junior Sambou,"1,83m",droit,500000.0,Avant-centre,23,43,41.0,20.0,4.0,5.0,0.0,0.0,5.0,21.0,"1,83",3029,2022/23
Juvhel Tsoumou,"1,91m",droit,300000.0,Avant-centre,31,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"1,00",22,2022/23
Kartier Dembélé,-,,25000.0,Avant-centre,20,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"3,00",2,2022/23
