Name,Taille,Pied,market_value,Position,Age,Dans l'effectif,Matchs,Buts,Passes décisives,Cartons Jaunes,Cartons rouges/jaunes,CartonS rouges,Entré en jeu,Remplacé,PPM,Minutes jouées,Saison
Ahmed Reda Tagnaouti,"1,92m",droit,850000.0,Gardien de but,21,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,40",480,2017/18
Zouheir Laaroubi,-,droit,750000.0,Gardien de but,32,35,26.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"1,81",2370,2017/18
Yassine El Kharroubi,"1,91m",droit,450000.0,Gardien de but,27,26,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,64",990,2017/18
Badereddine Benaachour,"1,78m",,200000.0,Gardien de but,22,25,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,40",450,2017/18
Amine Atouchi,"1,86m",droit,750000.0,Défenseur central,25,32,28.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,"1,64",2310,2017/18
Cheick Comara,"1,84m",gauche,750000.0,Défenseur central,23,38,37.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,"1,65",3192,2017/18
Abdelhamid El Kaoutari,"1,80m",gauche,550000.0,Défenseur central,27,12,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"1,60",262,2017/18
Mohamed Ouattara,"1,85m",gauche,350000.0,Défenseur central,24,7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"0,00",270,2017/18
Naïm Aarab,"1,88m",droit,175000.0,Défenseur central,29,31,17.0,2.0,1.0,2.0,0.0,0.0,6.0,4.0,"1,76",1036,2017/18
Achraf Dari,"1,88m",droit,100000.0,Défenseur central,18,8,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,"2,29",632,2017/18
Youssef Rabeh,"1,80m",ambidextre,0.0,Défenseur central,32,12,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"0,80",900,2017/18
Mohammed Nahiri,"1,86m",droit,1250000.0,Arrière gauche,25,40,36.0,10.0,5.0,3.0,0.0,0.0,2.0,2.0,"1,83",3078,2017/18
Badr Gaddarine,"1,78m",gauche,200000.0,Arrière gauche,19,29,18.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,"1,67",1245,2017/18
Abdellatif Noussir,"1,83m",droit,600000.0,Arrière droit,27,43,40.0,4.0,3.0,4.0,0.0,0.0,1.0,7.0,"1,88",3478,2017/18
Zakaria El Hachimi,"1,72m",ambidextre,350000.0,Arrière droit,29,23,16.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,"1,50",1258,2017/18
Salaheddine Saidi,"1,87m",droit,675000.0,Milieu défensif,30,42,42.0,0.0,6.0,2.0,0.0,0.0,3.0,2.0,"1,83",3595,2017/18
Brahim Nakach,"1,73m",droit,425000.0,Milieu défensif,35,38,37.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,"1,68",3300,2017/18
Anas Al-Asbahi,"1,80m",gauche,325000.0,Milieu défensif,23,15,8.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,"2,25",365,2017/18
Jamel Aït Ben Idir,"1,74m",droit,175000.0,Milieu défensif,33,26,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,"1,56",345,2017/18
Walid El Karti,"1,84m",droit,1000000.0,Milieu central,22,41,41.0,1.0,4.0,2.0,0.0,0.0,6.0,12.0,"1,78",3099,2017/18
Faical El Haddadi,"1,87m",droit,250000.0,Milieu central,21,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"0,50",126,2017/18
Daniel Nii Adjei,"1,75m",,150000.0,Milieu central,28,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"3,00",8,2017/18
Michel Babatunde,"1,79m",gauche,700000.0,Milieu offensif,24,6,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,"1,83",426,2017/18
Aymane El Hassouni,"1,87m",droit,400000.0,Milieu offensif,22,28,24.0,0.0,1.0,1.0,0.0,0.0,16.0,7.0,"2,17",871,2017/18
Mohamed Aoulad,"1,83m",,300000.0,Milieu offensif,25,23,21.0,5.0,1.0,1.0,0.0,0.0,6.0,9.0,"1,38",1296,2017/18
Rachid Housni,"1,77m",gauche,275000.0,Milieu offensif,27,28,14.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,"1,29",498,2017/18
Hicham Massaki,"1,85m",gauche,0.0,Milieu offensif,18,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,00",7,2017/18
Ismail El Haddad,"1,81m",gauche,1150000.0,Ailier gauche,26,37,36.0,11.0,10.0,2.0,0.0,0.0,4.0,12.0,"1,75",2877,2017/18
Achraf Bencharki,"1,76m",droit,1000000.0,Ailier gauche,22,8,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"0,67",429,2017/18
Zouhair El Moutaraji,"1,82m",droit,700000.0,Ailier gauche,21,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"3,00",1,2017/18
Amin Tighazoui,"1,72m",gauche,1000000.0,Ailier droit,28,45,41.0,9.0,11.0,0.0,0.0,0.0,15.0,18.0,"1,76",2489,2017/18
Mohamed Ounajem,"1,73m",droit,800000.0,Ailier droit,25,27,25.0,6.0,6.0,2.0,0.0,0.0,4.0,7.0,"1,84",1952,2017/18
Badie Aouk,"1,66m",droit,700000.0,Ailier droit,22,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"1,50",113,2017/18
Reda Hajhouj,"1,75m",droit,300000.0,Ailier droit,22,11,11.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,"0,64",615,2017/18
Abdeladim Khadrouf,"1,83m",ambidextre,275000.0,Ailier droit,32,13,12.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,"1,08",843,2017/18
Guillaume Daho,"1,73m",droit,325000.0,Avant-centre,22,14,13.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,"1,15",655,2017/18
